Id,Gazeteers_AvgValence,Gazeteers_AvgArousal,DAL_ANEW_AvgValence,DAL_ANEW_AvgArousal,DAL_ANEW_AvgDominance,Synesktech_GeneralWeight,Synesktech_Valence,Synesktech_HappinessWeight,Synesktech_SadnessWeight,Synesktech_AngerWeight,Synesktech_FearWeight,Synesktech_DisgustWeight,Synesktech_SurpriseWeight,GI_positiv,GI_negativ,GI_pstv,GI_affil,GI_ngtv,GI_hostile,GI_strong,GI_power,GI_weak,GI_submit,GI_active,GI_passive,GI_pleasur,GI_pain,GI_feel,GI_arousal,GI_emot,GI_virtue,GI_vice,GI_ovrst,GI_undrst,GI_academ,GI_doctrin,GI_econ@,GI_exch,GI_econ,GI_exprsv,GI_legal,GI_milit,GI_polit@,GI_polit,GI_relig,GI_role,GI_coll,GI_work,GI_ritual,GI_socrel,GI_race,GI_kin@,GI_male,GI_female,GI_nonadlt,GI_hu,GI_ani,GI_place,GI_social,GI_region,GI_route,GI_aquatic,GI_land,GI_sky,GI_object,GI_tool,GI_food,GI_vehicle,GI_bldgpt,GI_comnobj,GI_natobj,GI_bodypt,GI_comform,GI_com,GI_say,GI_need,GI_goal,GI_try,GI_means,GI_persist,GI_complet,GI_fail,GI_natrpro,GI_begin,GI_vary,GI_increas,GI_decreas,GI_finish,GI_stay,GI_rise,GI_exert,GI_fetch,GI_travel,GI_fall,GI_think,GI_know,GI_causal,GI_ought,GI_perceiv,GI_compare,GI_eval@,GI_eval,GI_solve,GI_abs@,GI_abs,GI_quality,GI_quan,GI_numb,GI_ord,GI_card,GI_freq,GI_dist,GI_time@,GI_time,GI_space,GI_pos,GI_dim,GI_rel,GI_color,GI_self,GI_our,GI_you,GI_name,GI_yes,GI_no,GI_negate,GI_intrj,GI_iav,GI_dav,GI_sv,GI_ipadj,GI_indadj,GI_powgain,GI_powloss,GI_powends,GI_powaren,GI_powcon,GI_powcoop,GI_powaupt,GI_powpt,GI_powdoct,GI_powauth,GI_powoth,GI_powtot,GI_rcethic,GI_rcrelig,GI_rcgain,GI_rcloss,GI_rcends,GI_rctot,GI_rspgain,GI_rsploss,GI_rspoth,GI_rsptot,GI_affgain,GI_affloss,GI_affpt,GI_affoth,GI_afftot,GI_wltpt,GI_wlttran,GI_wltoth,GI_wlttot,GI_wlbgain,GI_wlbloss,GI_wlbphys,GI_wlbpsyc,GI_wlbpt,GI_wlbtot,GI_enlgain,GI_enlloss,GI_enlends,GI_enlpt,GI_enloth,GI_enltot,GI_sklasth,GI_sklpt,GI_skloth,GI_skltot,GI_trngain,GI_trnloss,GI_tranlw,GI_meanslw,GI_endslw,GI_arenalw,GI_ptlw,GI_nation,GI_anomie,GI_negaff,GI_posaff,GI_surelw,GI_if,GI_notlw,GI_timespc,GI_formlw,Unnamed: 196,Quadrant
mt0000048600,2.115,1.7366666666666664,1.968138666666667,1.6295080000000004,1.8866666666666676,1.0,1,1.0,1.0,0.08000000000000003,0.16000000000000006,0.18000000000000002,0.061538461538461535,25,15,25,16,15,8,14,11,21,2,60,27,0,3,0,12,7,11,15,11,11,0,1,5,3,3,8,0,6,4,5,0,5,2,8,8,15,0,2,1,1,0,7,0,14,10,2,2,0,0,0,18,4,1,1,0,1,11,4,20,13,0,0,0,3,6,0,1,0,3,0,0,0,0,0,2,1,2,1,9,0,0,2,2,0,8,0,0,7,10,0,1,6,15,0,0,0,2,1,25,0,13,0,0,7,11,14,0,0,0,2,0,0,3,53,20,8,0,0,0,2,0,0,6,9,2,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,2,0,2,6,10,0,0,7,7,0,5,3,3,0,11,1,0,0,0,11,12,3,0,12,15,1,1,15,1,0,0,0,0,0,2,6,14,6,0,31,8,,Q4
mt0000052463,1.7784615384615388,2.3996153846153843,1.875656262425447,1.6997015904572559,1.5105367793240556,1.0,1,1.0,0.96,1.0,1.0,1.0,0.42,75,54,74,68,50,37,171,39,43,9,247,62,4,5,0,26,12,31,13,77,34,3,2,10,0,7,2,9,0,4,2,2,5,3,12,2,93,0,0,2,0,1,8,2,29,9,5,9,0,1,5,6,2,1,0,0,2,1,3,17,4,0,12,11,27,39,15,16,17,34,6,22,3,0,8,4,0,5,15,35,0,0,12,53,4,10,0,0,11,20,25,30,18,58,4,1,3,3,2,53,3,77,7,22,19,0,23,10,45,0,5,1,9,34,233,75,49,0,3,14,7,2,0,10,6,1,1,0,0,21,62,15,2,3,0,1,21,2,6,10,18,7,0,1,2,10,0,0,6,6,1,5,15,2,0,23,10,0,3,0,21,34,0,0,3,3,27,6,46,1,27,0,1,0,0,10,8,31,9,9,75,9,,Q2
mt0000053935,2.806315789473684,2.370526315789474,2.047015104166667,1.6328578125000004,1.4572916666666649,1.0,1,1.0,0.8,0.9,0.9,0.7,0.15,80,5,80,40,5,6,24,7,6,1,11,25,6,0,0,3,9,53,3,13,5,0,0,6,0,0,0,2,0,0,0,1,12,0,7,0,13,0,0,0,0,6,12,0,1,1,0,0,0,0,0,12,1,11,0,0,0,0,0,18,6,0,12,0,1,15,0,0,0,2,0,0,0,0,8,6,0,0,0,0,0,0,1,8,0,0,1,0,34,2,0,1,9,8,0,0,0,1,0,4,1,8,0,0,2,0,19,0,42,0,0,0,1,7,33,20,42,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,1,0,0,1,8,0,0,11,19,0,0,0,0,0,0,4,0,12,16,1,0,0,0,1,2,0,0,1,1,6,1,18,0,6,0,2,0,0,3,20,6,1,0,7,6,,Q1
mt0000054766,2.78,2.5170000000000003,1.8947834224598932,1.7499251336898387,1.5529411764705876,1.0,1,1.0,1.0,0.9,0.9,0.7,0.061538461538461535,51,32,50,65,32,16,48,22,29,3,79,69,25,1,0,1,26,8,0,31,30,0,0,5,2,5,1,6,0,0,3,0,2,1,9,2,61,1,0,0,1,1,3,0,4,1,0,2,0,1,0,4,2,0,0,0,1,1,1,9,7,2,18,0,1,8,0,7,11,8,4,3,0,1,0,0,1,4,3,12,3,0,13,9,0,7,2,0,0,18,5,12,1,31,1,0,1,11,0,46,7,18,0,2,0,1,11,11,21,0,6,2,11,17,109,30,30,0,0,3,2,0,0,2,0,0,1,0,0,3,11,4,0,2,0,0,6,1,2,0,3,33,3,0,17,53,0,0,4,4,1,2,0,0,0,3,9,0,4,0,11,24,0,0,4,4,7,8,12,0,20,0,4,0,0,0,0,30,5,13,30,6,,Q3
mt0000059269,2.7771428571428567,2.2342857142857144,1.9703009900990096,1.7189554455445544,1.8554455445544555,1.0,1,1.0,1.0,0.1,0.125,0.09090909090909093,0.061538461538461535,43,20,43,37,20,7,44,15,4,3,36,38,8,6,0,4,7,10,12,22,7,0,0,2,0,6,2,3,0,2,2,0,0,2,8,0,21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,2,0,0,0,1,6,2,20,4,0,0,0,0,0,0,3,2,8,0,6,0,0,4,5,9,3,2,5,0,0,4,1,0,0,0,0,5,5,0,10,2,14,0,0,0,10,0,23,10,3,0,2,0,2,5,0,10,2,0,0,0,6,48,22,15,0,0,4,9,0,0,2,0,0,0,0,2,10,27,0,0,0,0,0,0,0,0,2,2,12,0,0,7,19,0,0,2,2,0,8,6,10,2,26,0,0,0,0,7,7,0,0,0,0,2,0,8,0,0,0,0,2,0,6,8,17,0,0,38,10,,Q3
mt0000063684,1.8625,1.5175,1.880420560747664,1.677971028037383,1.82056074766355,0.26666666666666666,1,0.26666666666666666,0.26666666666666666,0.037037037037037035,0.022222222222222227,0.12857142857142856,0.027027027027027032,23,12,23,6,12,14,38,2,2,1,52,6,0,0,0,2,0,16,1,21,8,4,0,3,1,2,0,0,1,0,0,0,0,0,6,0,11,0,0,2,0,0,0,4,10,5,3,0,0,1,1,16,13,0,0,1,1,1,0,5,3,0,0,0,3,6,1,7,1,4,0,16,0,0,2,0,10,4,5,23,1,0,8,1,2,1,0,0,13,1,0,7,3,11,0,0,0,0,0,14,6,27,12,12,3,0,10,5,10,0,0,1,5,3,68,13,18,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0,5,1,0,0,1,2,0,1,2,3,0,0,4,0,0,4,0,0,0,0,4,4,0,0,0,0,4,1,11,0,1,0,0,0,0,1,1,9,1,6,15,1,,Q4
mt0000067251,2.233333333333333,1.4166666666666667,1.80930705882353,1.6424570588235292,1.6552941176470577,1.0,-1,0.13636363636363635,1.0,0.14117647058823532,0.2571428571428571,0.10588235294117647,0.07142857142857142,20,36,20,14,31,24,39,7,8,6,70,33,2,6,0,5,5,9,9,18,8,0,1,5,1,4,2,4,0,3,1,0,6,0,7,3,31,0,4,1,5,0,6,0,5,0,0,5,0,0,0,17,12,0,0,0,3,2,2,13,2,1,1,1,6,13,6,5,2,9,1,7,0,0,3,0,2,11,3,7,0,0,2,11,3,8,0,0,4,7,6,6,15,12,2,0,2,0,0,12,0,29,0,3,3,0,22,0,26,0,0,1,0,5,70,26,31,2,0,2,5,0,0,7,1,0,0,0,0,10,25,9,0,4,0,0,13,0,1,4,5,0,0,5,0,5,0,0,7,7,4,1,3,0,0,8,7,0,0,0,7,14,0,0,1,1,6,1,11,2,2,0,4,0,0,3,4,7,7,0,12,3,,Q3
mt0000082188,2.6833333333333336,2.21,1.919004687499999,1.7451578125000005,1.7687499999999998,1.0,1,1.0,0.26666666666666666,0.057142857142857134,0.125,0.05,0.0,20,13,21,14,17,7,12,3,6,1,14,20,1,0,0,6,3,8,12,8,5,0,0,5,0,2,0,4,0,1,1,0,8,1,3,0,6,0,0,0,4,4,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,12,0,0,0,1,0,3,0,0,1,1,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,3,1,0,1,4,1,3,5,8,1,0,1,2,0,8,2,6,0,0,3,0,8,1,5,0,2,4,0,2,19,10,21,0,0,0,0,0,0,1,0,0,0,1,0,3,5,8,0,1,0,0,9,0,0,1,1,3,0,0,4,7,0,0,1,1,0,1,0,0,8,9,2,0,0,0,3,5,0,0,0,0,4,1,3,0,1,0,0,0,0,8,7,5,0,0,12,3,,Q3
mt0000086428,2.37,1.81125,1.884459259259259,1.6782748148148157,1.6103703703703702,1.0,1,0.8,0.3333333333333333,0.2,0.06,0.06,0.09000000000000001,24,15,23,21,15,12,34,5,23,1,46,19,0,0,0,2,1,10,5,23,27,1,0,6,3,4,1,2,0,0,2,0,0,0,3,1,17,0,0,0,0,0,0,0,3,1,2,0,0,0,1,13,8,2,1,0,2,0,0,4,4,1,4,1,5,2,1,2,0,8,3,11,1,0,5,2,3,1,4,6,0,0,6,10,2,1,3,0,5,8,2,4,11,34,0,0,0,6,0,30,2,15,3,6,3,0,3,19,0,0,0,1,0,6,53,17,15,0,1,0,0,0,0,0,2,0,0,0,0,2,4,4,0,1,0,0,5,0,0,0,0,1,0,0,1,2,0,2,5,7,0,2,4,0,0,6,1,0,2,0,12,15,0,0,0,0,1,1,8,0,5,1,0,0,0,3,3,10,4,0,15,2,,Q3
mt0000090550,1.88,2.44,1.8031306666666669,1.6283999999999998,1.544,1.0,1,1.0,1.0,0.5,0.5,0.5,0.061538461538461535,7,7,7,4,7,9,21,6,4,4,25,8,0,0,0,0,0,3,5,11,3,1,0,0,0,0,2,0,0,0,0,0,1,1,3,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,1,2,0,2,0,2,1,0,5,1,0,0,0,0,0,2,1,0,1,4,6,0,0,2,2,2,0,0,0,3,3,1,1,0,6,0,0,0,1,0,5,0,9,0,0,0,0,5,1,16,0,0,0,2,1,29,7,22,0,0,5,4,0,0,1,0,1,0,0,0,1,12,0,2,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,3,1,0,0,1,0,0,3,0,1,0,0,0,0,0,2,6,1,2,7,1,,Q4
mt0000091401,2.55,2.77,1.9282631205673764,1.6966340425531918,1.768794326241134,1.0,-1,0.6,0.26666666666666666,1.0,0.2571428571428571,0.18000000000000002,0.027027027027027032,5,9,5,7,8,5,45,15,8,3,55,11,0,0,0,0,0,2,1,25,14,8,1,2,0,6,7,1,0,8,11,0,7,1,10,2,12,0,0,1,48,0,8,0,8,4,0,3,0,1,0,7,2,1,1,0,1,2,0,22,12,1,5,2,6,2,4,2,0,2,2,6,1,0,0,0,0,4,1,14,0,0,4,6,1,0,1,0,1,9,4,11,5,25,1,0,1,0,0,19,7,24,9,6,8,15,0,0,2,4,1,0,0,3,47,20,18,0,0,2,0,0,0,0,3,0,0,0,0,7,12,8,0,0,0,0,8,0,0,7,7,0,0,1,0,1,0,0,1,1,0,1,1,0,0,2,6,0,0,0,15,21,4,0,7,11,2,0,5,0,5,0,2,0,0,0,0,19,6,0,18,13,,Q1
mt0000091781,2.392,1.86,1.9660640000000005,1.775942666666667,1.6986666666666672,1.0,-1,1.0,1.0,0.5,1.0,0.5,0.061538461538461535,16,10,16,20,10,5,20,4,10,2,32,24,6,0,0,0,6,1,2,10,3,0,1,2,0,2,0,0,1,0,1,0,1,0,7,1,17,0,1,1,0,0,1,0,4,2,0,0,1,1,0,4,4,0,0,0,0,0,0,5,2,1,4,1,1,6,4,2,1,4,0,5,0,1,1,0,1,2,1,4,3,0,11,0,1,1,0,0,1,13,2,6,5,4,4,2,2,5,0,19,4,8,1,0,5,0,11,1,5,0,0,0,0,1,43,15,26,0,0,0,1,0,0,1,3,0,0,0,0,1,6,2,0,0,0,0,2,0,0,0,0,9,0,1,5,15,0,0,2,2,0,0,0,0,0,0,3,0,1,0,12,16,0,0,1,1,0,3,7,0,3,0,0,0,0,1,0,1,3,0,19,2,,Q3
mt0000092637,2.815,2.0383333333333336,1.9655923913043485,1.5898728260869568,1.5282608695652176,1.0,-1,1.0,1.0,0.12857142857142856,0.05882352941176471,0.04736842105263158,0.061538461538461535,26,21,26,12,16,2,12,6,8,2,21,20,7,10,0,9,16,10,6,15,4,0,0,7,2,5,3,11,0,0,4,0,0,3,0,0,6,0,0,2,0,0,3,0,4,0,0,0,0,0,4,1,0,0,0,0,0,1,0,12,12,4,2,0,2,7,2,0,0,2,0,4,0,0,0,0,0,0,0,4,2,0,6,16,0,3,0,0,6,7,0,2,6,13,2,0,2,0,0,6,2,9,4,4,3,0,8,0,0,0,0,0,0,4,20,13,20,4,0,0,0,0,0,0,2,0,0,0,3,4,9,10,0,0,0,0,10,0,0,0,0,6,0,0,3,9,0,0,0,0,0,4,0,15,3,22,5,0,8,0,5,18,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,6,6,0,7,12,,Q3
mt0000095414,2.01,2.3233333333333337,1.8490039215686276,1.5874980392156857,1.5843137254901951,0.42857142857142855,-1,0.026470588235294117,0.42857142857142855,0.0,0.125,0.0,0.0,0,8,0,4,8,4,6,0,2,8,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,12,0,0,0,0,0,2,0,4,0,0,0,2,0,2,2,2,0,0,0,0,0,0,12,6,0,0,0,2,6,2,0,0,0,0,4,0,0,6,4,0,0,0,4,0,0,2,2,0,4,0,0,0,0,0,10,0,0,0,0,0,4,0,16,10,26,0,0,4,0,14,0,14,0,0,0,0,0,14,16,24,0,0,0,0,0,0,4,2,2,0,0,0,0,8,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,6,12,0,0,0,0,4,2,4,0,2,0,0,0,0,0,0,0,0,0,32,8,,Q3
