Nome;Chorus certo;Chorus errado;Chorus a mais;Chorus a menos;Chorus oficial
Nelly Furtado Onde Estas;3;0;0;0;3
New Order All Day Long;2;0;0;0;2
New Order Procession;1;0;1;1;2
Nico Ari's Song;2;0;0;0;2
Nine Inch Nails My Violent Heart;2;0;1;0;2
Nirvana Blandest;3;0;0;0;3
Oasis Let There Be Love;3;0;1;0;3
Oasis Lyla;2;0;1;0;2
Otis Redding (Sittin' On) The Dock of the Bay;3;0;0;0;3
OutKast Hey Ya!;3;0;1;0;3
Ozzy Osbourne Gets Me Through;2;0;1;0;2
Ozzy Osbourne No Easy Way Out;3;0;0;0;3
Ozzy Osbourne Running Out of Time;3;0;1;0;3
Patty Loveless How Can I Help You Say Goodbye;3;0;0;0;3
Paul Oakenfold Starry Eyed Surprise;3;0;0;0;3
Paula Abdul Rush Rush;3;0;1;0;3
Pet Shop Boys Love Comes Quickly;4;0;0;0;4
Peter Gabriel I Grieve;2;0;2;0;2
Pink Floyd Chapter 24;3;0;2;0;3
PJ Harvey This Mess We're In;3;0;0;0;3
Prince Cindy C.;3;0;2;1;4
Prince Dirty Mind;1;0;2;0;1
Prince Do Me Baby;2;0;1;0;2
Prince I Feel for You;2;0;1;0;2
Prince I Wanna Be Your Lover;2;0;1;0;2
Prince Kiss;3;0;0;0;3
Prince U Got the Look;0;2;0;0;3
Prince” Kiss;3;0;0;0;3
Prince” Let's Go Crazy;2;0;3;0;2
Public Enemy Bring the Noise;3;0;1;0;3
Queen It's a Beautiful Day (Reprise);1;0;1;0;1
Queensryche The Needle Lies;0;2;0;0;2
R.E.M. Sad Professor;3;0;0;0;3
Radiohead How to Disappear Completely;3;0;0;0;3
Rage Against the Machine Mic Check;3;0;0;0;3
Rage Against the Machine Pistol Grip Pump;3;0;0;0;3
Rage Against the Machine Settle for Nothing;0;1;0;0;2
Rage Against the Machine Sleep Now in the Fire;1;0;1;1;2
Rage Against the Machine Vietnow;3;0;4;0;3
Rage Against the Machine Voice of the Voiceless;2;0;0;0;2
Rage Against the Machine Wake Up;0;2;0;0;1
Rage Against the Machine Without a Face;2;0;1;0;2
Randy Travis 1982;2;0;0;0;2
Randy Travis The Unclouded Day;2;0;1;0;2
Ray Charles What'd I Say;1;0;4;0;1
Reba McEntire Can't Even Get the Blues No More;2;0;0;0;2
Rihanna Breakin' Dishes;3;0;3;0;3
Robbie Williams Lazy Days;2;0;0;0;2
Rod Stewart Da Ya Think I'm Sexy;4;0;0;0;4
Rod Stewart What Am I Gonna Do (I'm So in Love With You);3;0;2;0;3
Sade Sally;3;0;0;0;3
Sepultura Dead Embryonic Cells;2;0;4;0;2
Sheryl Crow A Change Would Do You Good;3;0;1;0;3
Sheryl Crow My Favorite Mistake;2;0;2;0;2
Sheryl Crow Strong Enough;1;0;5;0;1
Sinead O'Connor This Is to Mother You;0;3;0;0;1
Slayer Altar of Sacrifice;2;0;0;0;2
Slayer Consfearacy;3;0;0;0;3
Slayer Crypts of Eternity;2;0;0;0;2
Slayer Fight Till Death;3;0;1;0;3
Slayer Flesh Storm;3;0;0;0;3
Slayer Ghosts of War;2;0;1;0;2
Slayer Hate Worldwide;3;0;0;0;3
Slayer Here Comes the Pain;2;0;3;0;2
Slayer Live Undead;0;1;0;0;1
Slayer Overt Enemy;2;0;0;0;2
Slayer Piece by Piece;3;0;2;0;3
Slayer Praise of Death;3;0;0;0;3
Slayer Psychopathy Red;3;0;0;0;3
Slayer Public Display Of Dismemberment;3;0;0;0;3
Slayer Spirit in Black;3;0;2;0;3
Slayer Spiritual Law;1;0;4;1;2
Slayer Supremist;1;0;1;0;1
Slayer War Zone;2;0;0;0;2
Slipknot (Sic);2;0;1;0;2
Slipknot Pulse of the Maggots;0;4;0;0;3
Slipknot Wait and Bleed;4;0;0;0;4
Smashing Pumpkins Crush;2;0;0;0;2
Smashing Pumpkins Pug;3;0;2;0;3
Snoop Dogg Fuck you;2;0;0;0;2
Snoop Dogg Ride;4;0;0;0;4
Snoop Dogg Signs;4;0;0;0;4
Sonic Youth Superstar;2;0;1;0;2
Soulfly Back to the Primitive;3;0;1;0;3
Stevie Wonder Come Back as a Flower;2;0;0;0;2
Stevie Wonder Outside My Window;3;0;1;3;6
Stevie Wonder Send One Your Love;5;0;0;0;5
Stevie Wonder Signed Sealed Delivered I'm Yours;2;0;1;0;2
Sting I'm So Happy I Can't Stop;4;0;1;0;4
Suicidal Tendencies Institutionalized;3;0;0;0;3
T. Rex Telegram Sam;3;0;2;0;3
Teddy Pendergrass Come Go with Me;0;1;0;0;3
The Beach Boys California Saga California;2;0;0;1;3
The Beach Boys Do You Remember;3;0;1;0;3
The Beach Boys Keepin' the Summer Alive;3;0;1;1;4
The Beach Boys Land Ahoy;3;0;0;2;5
The Beach Boys Make It Big;9;0;0;2;11
The Beatles All Together Now;3;0;3;0;3
The Beatles Getting Better;2;0;3;1;3
The Beatles Hippy Hippy Shake;2;0;4;0;2
The Beatles Lovely Rita;2;0;2;1;3
The Beatles Ob-La-Di Ob-La-Da;4;0;0;0;4
The Beatles Run for Your Life;4;0;1;0;4
The Beatles She's Leaving Home;3;0;0;0;3
The Beatles When I Get Home;4;0;0;0;4
The Cure This Is a Lie;4;0;1;0;4
The Cure Want;2;0;0;0;2
The Fall War;3;0;0;0;3
The Jayhawks Blue;3;0;0;0;3
The Kinks Party Line;1;0;3;1;2
The Kinks Waterloo Sunset;3;0;2;0;3
The Notorious B.I.G. Ready to Die;3;0;0;0;3
The Police When the World Is Running Down You Make the Best of What's Still Around;4;0;0;0;4
The Rolling Stones Around and Around;3;0;2;0;3
The Rolling Stones Citadel;4;0;0;0;4
The Rolling Stones She's a Rainbow;2;0;3;2;4
The Rolling Stones Tie You Up (The Pain of Love);2;0;2;0;2
The Verve Lucky Man;0;5;0;0;2
The Verve The Drugs Don't Work;4;0;2;0;4
The Who The Song Is Over;2;0;2;1;3
The Who They Are All in Love;3;0;0;0;3
Tim McGraw My Best Friend;3;0;0;0;3
Tina Turner Whatever You Need;3;0;0;0;3
Toby Keith Don't Leave I Think I Love You;3;0;0;0;3
Toby Keith I Love This Bar;0;2;0;0;2
Toby Keith If I Was Jesus;3;0;1;0;3
Toby Keith She Never Cried in Front of Me;3;0;0;0;3
Toby Keith Upstairs Downtown;3;0;0;0;3
Toby Keith Whiskey Girl;2;0;1;0;2
Tom Waits More Than Rain;2;0;1;0;2
Tool Forty Six 2”;2;0;5;0;2
Tool Intolerance;2;0;1;0;2
Tool ?nema;0;3;0;0;2
Tori Amos Hotel;1;0;5;1;2
Trace Adkins Help Me Understand;3;0;0;0;3
Trace Adkins I Wanna Feel Something;3;0;1;0;3
Trisha Yearwood She Can't Save Him;6;0;0;0;6
Venom Black Metal;3;0;0;0;3
Vince Gill If It Weren't For Him;0;3;0;0;1
Vince Gill Look at Us;2;0;1;0;2
Vince Gill These Broken Hearts;2;0;1;0;2
Vince Gill Young Man's Town;2;0;1;0;2
White Zombie Super-Charger Heaven;0;3;0;0;3
Whitney Houston Heartbreak Hotel;1;0;2;2;3
Whitney Houston Oh Yes;8;0;0;0;8
Willie Nelson Family Bible;2;0;0;0;2
Willie Nelson Fire and Rain;2;0;0;0;2
Willie Nelson What a Wonderful World;3;0;0;0;3
Willie Nelson Willingly;2;0;1;0;2
Wings Getting Closer;3;0;0;0;3
Wu-Tang Clan Da Mystery of Chessboxin';3;0;0;0;3
Wu-Tang Clan Wu-Tang Clan Ain't Nuthing Ta F' Wit;3;0;0;0;3
Young Jeezy I Luv It;4;0;0;0;4
